root@comp3134-winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:01.585742 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 144255700:144255808, ack 3544078045, win 501, length 108
20:32:01.669093 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115260:115416, ack 73, win 501, length 156
20:32:01.669162 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115416:115572, ack 73, win 501, length 156
20:32:01.669300 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115572:115728, ack 73, win 501, length 156
20:32:01.669613 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 112920, win 508, length 0
20:32:01.669689 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115728:115988, ack 73, win 501, length 260
20:32:01.669761 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 115988:116144, ack 73, win 501, length 156
20:32:01.669819 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116144:116300, ack 73, win 501, length 156
20:32:01.669872 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116300:116456, ack 73, win 501, length 156
20:32:01.669928 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116456:116612, ack 73, win 501, length 156
20:32:01.669983 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116612:116768, ack 73, win 501, length 156
20:32:01.670250 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116768:116924, ack 73, win 501, length 156
20:32:01.671063 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 116924:117080, ack 73, win 501, length 156
20:32:01.671170 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 117080:117236, ack 73, win 501, length 156
20:32:01.671234 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 113544, win 512, length 0
20:32:01.671292 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 117236:117392, ack 73, win 501, length 156
20:32:01.671312 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 114480, win 509, length 0
20:32:01.671313 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 115572, win 512, length 0
20:32:01.671401 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 117392:117532, ack 73, win 501, length 140
20:32:01.671458 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 117532:117896, ack 73, win 501, length 364
20:32:01.671579 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 117896:118052, ack 73, win 501, length 156
20:32:01.671639 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 118052:118364, ack 73, win 501, length 312
20:32:01.671757 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 118364:118520, ack 73, win 501, length 156
20:32:01.671986 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 118520:118676, ack 73, win 501, length 156
20:32:01.672264 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 118676:118832, ack 73, win 501, length 156
20:32:01.672402 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 116300, win 510, length 0
20:32:01.672550 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 118832:119092, ack 73, win 501, length 260
20:32:01.672805 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 116768, win 508, length 0
20:32:01.672832 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119092:119248, ack 73, win 501, length 156
20:32:01.672995 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119248:119508, ack 73, win 501, length 260
20:32:01.673116 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119508:119664, ack 73, win 501, length 156
20:32:01.673182 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119664:119820, ack 73, win 501, length 156
20:32:01.673242 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119820:119976, ack 73, win 501, length 156
20:32:01.673301 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 119976:120132, ack 73, win 501, length 156
20:32:01.673362 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120132:120288, ack 73, win 501, length 156
20:32:01.673513 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120288:120444, ack 73, win 501, length 156
20:32:01.673653 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120444:120600, ack 73, win 501, length 156
20:32:01.673770 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120600:120756, ack 73, win 501, length 156
20:32:01.673884 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120756:120912, ack 73, win 501, length 156
20:32:01.673950 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 120912:121068, ack 73, win 501, length 156
20:32:01.674008 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 121068:121224, ack 73, win 501, length 156
20:32:01.674233 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 117236, win 512, length 0
20:32:01.674307 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 121224:121484, ack 73, win 501, length 260
20:32:01.674370 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 121484:121640, ack 73, win 501, length 156
20:32:01.674407 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 117532, win 511, length 0
20:32:01.674450 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 121640:121900, ack 73, win 501, length 260
20:32:01.674600 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 121900:122056, ack 73, win 501, length 156
20:32:01.674666 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122056:122212, ack 73, win 501, length 156
20:32:01.674736 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122212:122368, ack 73, win 501, length 156
20:32:01.674792 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122368:122524, ack 73, win 501, length 156
20:32:01.674864 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122524:122680, ack 73, win 501, length 156
20:32:01.674914 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122680:122836, ack 73, win 501, length 156
20:32:01.674970 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122836:122992, ack 73, win 501, length 156
20:32:01.675037 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 122992:123148, ack 73, win 501, length 156
20:32:01.675086 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123148:123304, ack 73, win 501, length 156
20:32:01.675130 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123304:123460, ack 73, win 501, length 156
20:32:01.675182 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123460:123616, ack 73, win 501, length 156
20:32:01.675236 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123616:123772, ack 73, win 501, length 156
20:32:01.675290 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123772:123928, ack 73, win 501, length 156
20:32:01.675354 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 123928:124084, ack 73, win 501, length 156
20:32:01.675408 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124084:124240, ack 73, win 501, length 156
20:32:01.675460 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124240:124396, ack 73, win 501, length 156
20:32:01.675859 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 118364, win 508, length 0
20:32:01.675893 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124396:124552, ack 73, win 501, length 156
20:32:01.676001 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124552:124812, ack 73, win 501, length 260
20:32:01.676062 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124812:124968, ack 73, win 501, length 156
20:32:01.678044 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 118832, win 512, length 0
20:32:01.678093 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 124968:125124, ack 73, win 501, length 156
20:32:01.678232 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 125124:125384, ack 73, win 501, length 260
20:32:01.678346 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 121068, win 512, length 0
20:32:01.678346 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 124396, win 512, length 0
20:32:01.678371 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 125384:125540, ack 73, win 501, length 156
20:32:01.678484 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 125540:125904, ack 73, win 501, length 364
20:32:01.678541 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 125904:126060, ack 73, win 501, length 156
20:32:01.678594 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126060:126216, ack 73, win 501, length 156
20:32:01.678647 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126216:126372, ack 73, win 501, length 156
20:32:01.678771 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126372:126528, ack 73, win 501, length 156
20:32:01.678837 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126528:126684, ack 73, win 501, length 156
20:32:01.679441 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126684:126840, ack 73, win 501, length 156
20:32:01.679934 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 124968, win 510, length 0
20:32:01.679971 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126840:126996, ack 73, win 501, length 156
20:32:01.680081 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 126996:127256, ack 73, win 501, length 260
20:32:01.680164 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 127256:127412, ack 73, win 501, length 156
20:32:01.680223 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 127412:127568, ack 73, win 501, length 156
20:32:01.680281 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 127568:127724, ack 73, win 501, length 156
20:32:01.680391 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 127724:127880, ack 73, win 501, length 156
20:32:01.680673 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 127880:128036, ack 73, win 501, length 156
20:32:01.680784 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 126528, win 512, length 0
20:32:01.680830 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128036:128192, ack 73, win 501, length 156
20:32:01.680908 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128192:128452, ack 73, win 501, length 260
20:32:01.681237 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128452:128608, ack 73, win 501, length 156
20:32:01.681743 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128608:128764, ack 73, win 501, length 156
20:32:01.681905 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128764:128920, ack 73, win 501, length 156
20:32:01.682017 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 128920:129076, ack 73, win 501, length 156
20:32:01.682345 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129076:129232, ack 73, win 501, length 156
20:32:01.682465 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129232:129388, ack 73, win 501, length 156
20:32:01.682588 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129388:129544, ack 73, win 501, length 156
20:32:01.682779 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129544:129700, ack 73, win 501, length 156
20:32:01.682919 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 127568, win 508, length 0
20:32:01.682919 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 128036, win 512, length 0
20:32:01.682963 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129700:129856, ack 73, win 501, length 156
20:32:01.683098 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 129856:130220, ack 73, win 501, length 364
20:32:01.683239 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 130220:130376, ack 73, win 501, length 156
20:32:01.683350 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 130376:130532, ack 73, win 501, length 156
20:32:01.683419 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 130532:130688, ack 73, win 501, length 156
20:32:01.683536 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 130688:130844, ack 73, win 501, length 156
20:32:01.683692 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 130844:131000, ack 73, win 501, length 156
20:32:01.683782 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131000:131156, ack 73, win 501, length 156
20:32:01.683862 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131156:131312, ack 73, win 501, length 156
20:32:01.683919 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131312:131468, ack 73, win 501, length 156
20:32:01.683974 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131468:131624, ack 73, win 501, length 156
20:32:01.684079 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131624:131780, ack 73, win 501, length 156
20:32:01.684133 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131780:131936, ack 73, win 501, length 156
20:32:01.684186 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 131936:132092, ack 73, win 501, length 156
20:32:01.684251 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132092:132248, ack 73, win 501, length 156
20:32:01.684408 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132248:132404, ack 73, win 501, length 156
20:32:01.684460 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132404:132560, ack 73, win 501, length 156
20:32:01.684510 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132560:132716, ack 73, win 501, length 156
20:32:01.684560 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132716:132872, ack 73, win 501, length 156
20:32:01.684629 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 132872:133028, ack 73, win 501, length 156
20:32:01.684749 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 133028:133184, ack 73, win 501, length 156
20:32:01.684841 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 133184:133340, ack 73, win 501, length 156
20:32:01.684911 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 128192, win 512, length 0
20:32:01.684937 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 133340:133496, ack 73, win 501, length 156
20:32:01.684953 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 128608, win 510, length 0
20:32:01.684953 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 129232, win 508, length 0
20:32:01.684979 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 130532, win 512, length 0
20:32:01.685086 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 133496:134060, ack 73, win 501, length 564
20:32:01.685145 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134060:134216, ack 73, win 501, length 156
20:32:01.685197 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134216:134372, ack 73, win 501, length 156
20:32:01.685248 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134372:134528, ack 73, win 501, length 156
20:32:01.685424 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134528:134684, ack 73, win 501, length 156
20:32:01.685535 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134684:134840, ack 73, win 501, length 156
20:32:01.685596 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134840:134996, ack 73, win 501, length 156
20:32:01.685655 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 134996:135152, ack 73, win 501, length 156
20:32:01.685751 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135152:135308, ack 73, win 501, length 156
20:32:01.685830 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135308:135464, ack 73, win 501, length 156
20:32:01.685904 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135464:135620, ack 73, win 501, length 156
20:32:01.686004 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135620:135776, ack 73, win 501, length 156
20:32:01.686286 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135776:135932, ack 73, win 501, length 156
20:32:01.686360 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 135932:136088, ack 73, win 501, length 156
20:32:01.686415 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136088:136244, ack 73, win 501, length 156
20:32:01.686468 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136244:136400, ack 73, win 501, length 156
20:32:01.686581 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136400:136556, ack 73, win 501, length 156
20:32:01.686644 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136556:136712, ack 73, win 501, length 156
20:32:01.686701 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136712:136868, ack 73, win 501, length 156
20:32:01.686753 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 136868:137024, ack 73, win 501, length 156
20:32:01.687267 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 130844, win 511, length 0
20:32:01.687268 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 132872, win 512, length 0
20:32:01.687268 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 134372, win 512, length 0
20:32:01.687320 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 137024:137180, ack 73, win 501, length 156
20:32:01.687583 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 137180:137640, ack 73, win 501, length 460
20:32:01.687714 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 137640:137796, ack 73, win 501, length 156
20:32:01.687825 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 137796:137952, ack 73, win 501, length 156
20:32:01.687917 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 137952:138108, ack 73, win 501, length 156
20:32:01.688028 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138108:138264, ack 73, win 501, length 156
20:32:01.688124 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138264:138420, ack 73, win 501, length 156
20:32:01.688203 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138420:138576, ack 73, win 501, length 156
20:32:01.688309 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 134840, win 511, length 0
20:32:01.688367 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138576:138732, ack 73, win 501, length 156
20:32:01.688644 IP 198.96.84.224.50620 > 165.22.224.167.22: Flags [.], ack 136868, win 512, length 0
20:32:01.688698 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138732:138872, ack 73, win 501, length 140
20:32:01.688848 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 138872:139252, ack 73, win 501, length 380
20:32:01.688930 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 139252:139408, ack 73, win 501, length 156
20:32:01.688993 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 139408:139564, ack 73, win 501, length 156
20:32:01.689047 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 139564:139720, ack 73, win 501, length 156
20:32:01.689121 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 139720:139876, ack 73, win 501, length 156
20:32:01.689182 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 139876:140032, ack 73, win 501, length 156
20:32:01.689481 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 140032:140188, ack 73, win 501, length 156
20:32:01.690272 IP 165.22.224.167.22 > 198.96.84.224.50620: Flags [P.], seq 140188:140344, ack 73, win 501, length 156
